city;Екатеринбург;Красноярск;Москва;Санкт-Петербург
Екатеринбург;1;1000;1000;1000
Красноярск;1000;1;1000;1000
Москва;1000;1000;1;1000
Санкт-Петербург;1000;1000;1000;1
Абакан;2682;420;4471;5020
Альметьевск;820;3058;1078;1782
Анапа;2659;4897;1471;2184
Ангарск;3385;1008;5174;5723
Арзамас;1384;3771;520;1223
Армавир;2411;4649;1365;2077
Арсеньев;7245;4868;9034;9583
Архангельск;1963;4345;1236;1118
Астрахань;2214;4453;1392;2104
Ачинск;2212;173;4001;4550
Балаково;1268;3507;1008;1721
Балашиха;1799;4120;25;728
Барнаул;1827;944;3617;4165
Батайск;2272;4511;1085;1797
Белгород;2122;4361;663;1371
Беломорск;2516;4898;1307;777
Бердск;1632;826;3421;3970
Березники;543;2924;1616;2158
Бийск;1951;1067;3740;4289
Биробиджан;6446;4069;8235;8784
Благовещенск;6061; ;7749;8399
Братск;3258;882;5048;5596
Брянск;2190;4439;384;992
Великие Луки;2257;4620;469;479
Великий Новгород;2134;4516;529;196
Владивосток;7385;5008;9174;9723
Владикавказ;2583;4821;1762;2474
Владимир;1622;3954;196;899
Волгоград;1790;4029;970;1682
Волгодонск;2111;4350;1172;1884
Волжский;1789;4028;995;1707
Вологда;1684;4066;471;656
Воркута;2373;3991;2342;2524
Воронеж;1863;4101;515;1227
Воскресенск;1792;4127;97;809
Воткинск;579;2961;1254;1957
Глазов;663;3045;1198;1739
Грозный;2603;4842;1848;2560
Дербент;2766;5004;1944;2656
Дзержинск;1368;3761;395;1099
Димитровград;1044;3282;971;1675
Евпатория;2993;5232;1806;2518
Елец;1862;4101;383;1095
Ессентуки;2425;4669;1579;2291
Железногорск;2433;58;4220;4768
Железнодорожный;1810;4121;32;736
Жуковский;1828;4130;41;754
Зеленоград;1822;4181;41;668
Златоуст;261;2507;1642;2345
Иваново;1518;3897;308;891
Ижевск;635;3015;1200;1903
Иркутск;3439;1059;5225;5774
Ишим;620;1774;2410;2958
Йошкар-Ола;1012;3476;749;1452
Казань;1068;3323;810;1513
Калининград;3081;5400;1284;963
Калуга;1992;4328;182;860
Каменск-Уральский;100;2294;1896;2438
Камышин;1602;3843;981;1693
Канск;2607;229;4395;4944
Кемерово;1854;532;3643;4191
Керчь;2711;4951;1525;2238
Киров;849;3229;959;1501
Киселёвск;1921;705;3711;4260
Кисловодск;2441;4685;1595;2307
Клин;1828;4228;87;619
Ковров;1572;3913;268;972
Коломна;1845;4118;114;827
Колпино;2286;4665;679;33
Комсомольск-на-Амуре;7021;4645;8811;9359
Королёв;1778;4148;26;715
Кострома;1454;3834;345;861
Красногорск;1810;4171;22;699
Краснодар;2527;4767;1342;2054
Кудымкар;555;2938;1373;1915
Кузнецк;1240;3513;759;1472
Кунгур;279;2662;1527;2069
Курган;366;2171;2052;2755
Курск;2094;4367;525;1232
Кызыл;3063;800;4859;5408
Ленинск-Кузнецкий;1829;619;3619;4167
Липецк;1780;4053;463;1175
Люберцы;1807;4169;25;734
Магадан;8549;6170;10337;10886
Магнитогорск;531;2694;1691;2395
Майкоп;2533;4806;1399;2111
Махачкала;2619;4892;1804;2516
Междуреченск;2043;828;3832;4381
Миасс;231;2506;1689;2393
Минусинск;2698;435;4494;5043
Мурманск;3076;5459;1865;1340
Муром;1504;3930;311;1017
Мытищи;1780;4176;23;709
Набережные Челны;846;3119;1058;1758
Назрань;2574;4847;1764;2472
Нальчик;2490;4763;1652;2361
Нарткала;2477;4750;1668;2376
Нарьян-Мар;2402;4017;2367;2551
Находка;7499;5120;9256;9838
Невинномысск;2405;4678;1444;2153
Нефтекамск;532;3041;1293;1994
Нефтеюганск;1054;2607;2839;3380
Нижневартовск;1326;1462;3111;3652
Нижнекамск;912;3164;1057;1758
Нижний Новгород;1336;3761;421;1126
Нижний Тагил;140;2519;1779;2321
Новокузнецк;1966;751;3723;4304
Новокуйбышевск;1014;3287;1075;1787
Новомосковск;2021;4200;222;935
Новороссийск;2660;4934;1478;2186
Новосибирск;1598;790;3356;3937
Новочебоксарск;1090;3515;677;1378
Новочеркасск;2236;4509;1053;1763
Новошахтинск;2203;4476;1020;1731
Новый Уренгой;1851;2364;3636;4178
Ногинск;1795;4117;58;763
Ноябрьск;1417;1930;3202;3742
Обнинск;1916;4286;108;785
Одинцово;1828;4195;28;717
Октябрьский;714;2987;1189;1889
Омск;946;1435;2703;3285
Орёл;2071;4344;362;1070
Оренбург;903;3176;1469;2181
Орехово-Зуево;1738;4091;97;801
Орск;795;2958;1744;2457
Пенза;1357;3630;640;1351
Первоуральск;44;2427;1768;2314
Пермь;360;2743;1442;1984
Петрозаводск;2223;4605;1017;429
Подольск;1849;4211;44;753
Прокопьевск;1933;718;3690;4272
Псков;2373;4756;731;293
Пушкино;1763;4176;35;724
Пятигорск;2408;4682;1571;2279
Раменское;1799;4152;51;765
Ростов-на-Дону;2257;4530;1074;1784
Рубцовск;1787;1229;3544;4125
Рыбинск;1622;4005;308;722
Рязань;1797;4070;196;908
Салават;693;2966;1515;2217
Салехард;2839;4454;2804;2988
Самара;993;3267;1054;1767
Саранск;1364;3637;653;1368
Сарапул;665;3048;1230;1936
Саратов;1415;3688;846;1561
Севастополь;2992;5265;1809;2521
Северодвинск;2000;4382;1268;1152
Северск;1869;592;3626;4207
Сергиев Посад;1729;4112;73;730
Серов;353;2732;1866;2412
Серпухов;1911;4272;105;813
Симферополь;2925;5198;1743;2454
Смоленск;2195;4563;395;747
Соликамск;568;2951;1643;2189
Сочи;2805;5078;1622;2334
Ставрополь;2352;4625;1411;2122
Старый Оскол;1990;4263;635;1347
Стерлитамак;657;2930;1479;2185
Сургут;1111;1681;2895;3442
Сызрань;1110;3384;889;1605
Сыктывкар;1251;3634;1313;1502
Таганрог;2324;4597;1141;1853
Тамбов;1644;3917;460;1171
Тверь;1907;4337;168;538
Тобольск;572;2125;2364;2910
Тольятти;1027;3300;986;1701
Томск;1853;582;3610;4190
Тула;1988;4250;183;891
Тюмень;328;2063;2119;2665
Узловая;2020;4218;221;933
Улан-Удэ;3870;1492;5628;6208
Ульяновск;1137;3410;889;1595
Уссурийск;7290;4911;9047;9627
Уфа;543;2817;1345;2050
Хабаровск;6628;4250;8385;8966
Ханты-Мансийск;996;2549;2601;3147
Харабали;2060;4333;1262;1974
Хасавюрт;2554;4827;1733;2445
Химки;1800;4190;21;688
Чайковский;549;2932;1276;1982
Чебоксары;1096;3522;660;1366
Челябинск;206;2388;1776;2481
Череповец;1677;4059;488;541
Чита;4517;2139;6274;6855
Шахты;2190;4463;1007;1719
Щёлково;1780;4152;36;728
Электросталь;1769;4122;57;763
Элиста;2081;4354;1261;1973
Южно-Сахалинск;8172;5793;9929;10510
Якутск;6613;4234;8370;8950
Ярославль;1538;3921;272;784
